period,model,scenario,netPnlUsd,accountReturnPct,entryBudgetUsd,closedEpisodes,strategyExits,terminalExits,maxDrawdownUsd,feesUsd
2026-01-01/2026-09-10,trend,base,-16.954468167199593,-0.16954468167199588,1000.0,1,0,1,37.51305788960053,15.864291492200003
2026-01-01/2026-09-10,trend,stress,-6.456969559791105,-0.06456969559791581,1000.0,1,0,1,37.91351248244973,19.93676495479
2026-01-01/2026-09-10,reversion,base,-186.39421530852997,-1.8639421530852962,1000.0,3,3,0,225.97613246436413,46.08556179052961
2026-01-01/2026-09-10,reversion,stress,-218.82239155735078,-2.188223915573506,1000.0,3,3,0,265.29946644445226,57.121475034952
2026-01-01/2026-09-10,rotation,base,-97.99974610398931,-0.9799974610398943,1000.0,4,3,1,395.4008594731313,62.0934874324888
2026-01-01/2026-09-10,rotation,stress,-159.49069677063198,-1.5949069677063221,1000.0,4,3,1,452.17190077104715,76.89854898843201
2026-01-01/2026-09-10,cash,base,0.0,0.0,1000.0,0,0,0,0.0,0.0
2026-01-01/2026-09-10,cash,stress,0.0,0.0,1000.0,0,0,0,0.0,0.0
2026-01-01/2026-09-10,buy-hold-btc,base,-143.82005213376033,-1.438200521337607,1000.0,1,0,1,419.9654818281597,14.841175703760001
2026-01-01/2026-09-10,buy-hold-btc,stress,-154.5985678281013,-1.5459856782810144,1000.0,1,0,1,414.67813113870034,18.440380724100002
2026-01-01/2026-09-10,buy-hold-eth,base,-223.00078580831905,-2.230007858083194,1000.0,1,0,1,563.3934560235066,14.20263016692
2026-01-01/2026-09-10,buy-hold-eth,stress,-227.54456524672605,-2.275445652467256,1000.0,1,0,1,560.0979217367822,17.703569711126
